Date,RAY,QQQ,T10Y3M,CL1,HG1,GC1,XAG,VNQ,EURtoUSD,EEM,VIX,label
11/24/17,0.134266402,0.234320877,0.073531374,0.248457598,0.739612796,-0.385341976,-0.314969776,0.077742995,1.831156567,-0.160448614,-1.115542824,0
11/27/17,-0.132163646,-0.096886069,0.019140246,-0.193628958,-0.80287299,0.522623334,-0.029100389,-0.395469713,-0.557785357,-1.07199908,-1.088002129,1
11/28/17,0.872177048,0.145645985,-0.007537307,-0.015728668,-1.476714544,0.022260141,-0.586063035,-0.322665325,-0.934230042,0.530573389,-1.065969572,0
11/29/17,-0.057607714,-1.466023246,0.126876519,-0.159306059,-0.756707165,-0.979727756,-1.078192844,0.003639883,0.125466837,-1.156352891,-0.973708243,1
11/30/17,0.624732294,0.615020837,0.200695816,0.039903884,-0.07872923,-0.692609975,-0.351521616,0.097150368,0.943628038,-0.801721421,-0.893840227,1
12/1/17,-0.239445621,-0.403660801,-0.102648583,0.258616563,0.679883479,0.413651377,0.007075043,0.162326572,-0.119442697,-0.417552073,-0.873184705,1
12/4/17,-0.172136983,-0.989473066,-0.031789628,-0.20824151,-0.06619813,-0.358704275,-0.413972783,-0.415679935,-0.478068107,0.133366718,-0.838758836,0
12/5/17,-0.446475437,-0.007996025,-0.032732773,0.052531452,-3.409553457,-0.98766104,-0.740328979,-0.679769586,-0.642687951,-0.056221502,-0.886955053,1
12/6/17,-0.121303633,0.303179563,-0.060137388,-0.406217191,0.394190702,0.077367238,-0.486580009,-0.099950734,-0.480962075,-0.987632289,-0.92964313,1
12/7/17,0.293968821,0.212275897,0.155118066,0.204890041,0.093093121,-1.01969038,-0.830367032,0.1740157,-0.367165545,0.199135134,-1.04806812,1
12/8/17,0.419413078,0.295086958,0.071013266,0.186984115,0.354151637,-0.374475176,0.477425127,0.380886576,0.010847062,0.836797199,-1.127936137,1
12/11/17,0.195536159,0.564458593,-0.082719502,0.174786648,0.810322602,-0.132937473,-0.542818059,-0.033803899,-0.055022695,0.353870011,-1.160984971,1
12/12/17,0.03341891,-0.169352253,0.019140246,-0.199590971,0.274977137,-0.423298878,0.06584096,0.360102971,-0.433924912,-0.495401406,-1.081116955,1
12/13/17,-0.051608702,0.094537177,0.019140246,-0.123561484,0.725044748,0.528070274,1.196913638,0.106238791,1.397763907,0.860098612,-1.045314051,1
